784.8,1.52E-05,1.23E-06,0.00E+00
784.9,1.51E-05,1.22E-06,0.00E+00
785,1.50E-05,1.21E-06,0.00E+00
785.1,1.49E-05,1.20E-06,0.00E+00
785.2,1.49E-05,1.20E-06,0.00E+00
785.3,1.48E-05,1.19E-06,0.00E+00
785.4,1.47E-05,1.18E-06,0.00E+00
785.5,1.46E-05,1.17E-06,0.00E+00
785.6,1.45E-05,1.17E-06,0.00E+00
785.7,1.44E-05,1.16E-06,0.00E+00
785.8,1.43E-05,1.15E-06,0.00E+00
785.9,1.42E-05,1.15E-06,0.00E+00
786,1.41E-05,1.14E-06,0.00E+00
786.1,1.40E-05,1.13E-06,0.00E+00
786.2,1.39E-05,1.13E-06,0.00E+00
786.3,1.38E-05,1.12E-06,0.00E+00
786.4,1.38E-05,1.11E-06,0.00E+00
786.5,1.37E-05,1.11E-06,0.00E+00
786.6,1.36E-05,1.10E-06,0.00E+00
786.7,1.35E-05,1.09E-06,0.00E+00
786.8,1.34E-05,1.09E-06,0.00E+00
786.9,1.33E-05,1.08E-06,0.00E+00
787,1.32E-05,1.07E-06,0.00E+00
787.1,1.32E-05,1.07E-06,0.00E+00
787.2,1.31E-05,1.06E-06,0.00E+00
787.3,1.30E-05,1.06E-06,0.00E+00
787.4,1.29E-05,1.05E-06,0.00E+00
787.5,1.28E-05,1.04E-06,0.00E+00
787.6,1.27E-05,1.04E-06,0.00E+00
787.7,1.27E-05,1.03E-06,0.00E+00
787.8,1.26E-05,1.02E-06,0.00E+00
787.9,1.25E-05,1.02E-06,0.00E+00
788,1.24E-05,1.01E-06,0.00E+00
788.1,1.23E-05,1.01E-06,0.00E+00
788.2,1.23E-05,1.00E-06,0.00E+00
788.3,1.22E-05,9.95E-07,0.00E+00
788.4,1.21E-05,9.89E-07,0.00E+00
788.5,1.20E-05,9.83E-07,0.00E+00
788.6,1.20E-05,9.77E-07,0.00E+00
788.7,1.19E-05,9.71E-07,0.00E+00
788.8,1.18E-05,9.66E-07,0.00E+00
788.9,1.17E-05,9.60E-07,0.00E+00
789,1.17E-05,9.54E-07,0.00E+00
789.1,1.16E-05,9.48E-07,0.00E+00
789.2,1.15E-05,9.43E-07,0.00E+00
789.3,1.14E-05,9.37E-07,0.00E+00
789.4,1.14E-05,9.32E-07,0.00E+00
789.5,1.13E-05,9.26E-07,0.00E+00
789.6,1.12E-05,9.21E-07,0.00E+00
789.7,1.12E-05,9.15E-07,0.00E+00
789.8,1.11E-05,9.10E-07,0.00E+00
789.9,1.10E-05,9.05E-07,0.00E+00
790,1.09E-05,8.99E-07,0.00E+00
790.1,1.09E-05,8.94E-07,0.00E+00
790.2,1.08E-05,8.89E-07,0.00E+00
790.3,1.07E-05,8.83E-07,0.00E+00
790.4,1.07E-05,8.78E-07,0.00E+00
790.5,1.06E-05,8.73E-07,0.00E+00
790.6,1.05E-05,8.68E-07,0.00E+00
790.7,1.05E-05,8.63E-07,0.00E+00
790.8,1.04E-05,8.57E-07,0.00E+00
790.9,1.03E-05,8.52E-07,0.00E+00
791,1.03E-05,8.47E-07,0.00E+00
791.1,1.02E-05,8.42E-07,0.00E+00
791.2,1.01E-05,8.37E-07,0.00E+00
791.3,1.01E-05,8.32E-07,0.00E+00
791.4,1.00E-05,8.28E-07,0.00E+00
791.5,9.95E-06,8.23E-07,0.00E+00
791.6,9.89E-06,8.18E-07,0.00E+00
791.7,9.83E-06,8.13E-07,0.00E+00
791.8,9.76E-06,8.08E-07,0.00E+00
791.9,9.70E-06,8.03E-07,0.00E+00
792,9.64E-06,7.99E-07,0.00E+00
792.1,9.58E-06,7.94E-07,0.00E+00
792.2,9.52E-06,7.89E-07,0.00E+00
792.3,9.46E-06,7.85E-07,0.00E+00
792.4,9.40E-06,7.80E-07,0.00E+00
792.5,9.34E-06,7.75E-07,0.00E+00
792.6,9.28E-06,7.71E-07,0.00E+00
792.7,9.22E-06,7.66E-07,0.00E+00
792.8,9.16E-06,7.62E-07,0.00E+00
792.9,9.11E-06,7.57E-07,0.00E+00
793,9.05E-06,7.53E-07,0.00E+00
793.1,8.99E-06,7.48E-07,0.00E+00
793.2,8.94E-06,7.44E-07,0.00E+00
793.3,8.88E-06,7.40E-07,0.00E+00
793.4,8.82E-06,7.35E-07,0.00E+00
793.5,8.77E-06,7.31E-07,0.00E+00
793.6,8.71E-06,7.27E-07,0.00E+00
793.7,8.66E-06,7.22E-07,0.00E+00
793.8,8.60E-06,7.18E-07,0.00E+00
793.9,8.55E-06,7.14E-07,0.00E+00
794,8.50E-06,7.10E-07,0.00E+00
794.1,8.44E-06,7.06E-07,0.00E+00
794.2,8.39E-06,7.02E-07,0.00E+00
794.3,8.34E-06,6.97E-07,0.00E+00
794.4,8.28E-06,6.93E-07,0.00E+00
794.5,8.23E-06,6.89E-07,0.00E+00
794.6,8.18E-06,6.85E-07,0.00E+00
794.7,8.13E-06,6.81E-07,0.00E+00
794.8,8.08E-06,6.77E-07,0.00E+00
794.9,8.03E-06,6.74E-07,0.00E+00
795,7.98E-06,6.70E-07,0.00E+00
795.1,7.93E-06,6.66E-07,0.00E+00
795.2,7.88E-06,6.62E-07,0.00E+00
795.3,7.83E-06,6.58E-07,0.00E+00
795.4,7.78E-06,6.54E-07,0.00E+00
795.5,7.73E-06,6.50E-07,0.00E+00
795.6,7.68E-06,6.47E-07,0.00E+00
795.7,7.64E-06,6.43E-07,0.00E+00
795.8,7.59E-06,6.39E-07,0.00E+00
795.9,7.54E-06,6.36E-07,0.00E+00
796,7.49E-06,6.32E-07,0.00E+00
796.1,7.45E-06,6.28E-07,0.00E+00
796.2,7.40E-06,6.25E-07,0.00E+00
796.3,7.35E-06,6.21E-07,0.00E+00
796.4,7.31E-06,6.18E-07,0.00E+00
796.5,7.26E-06,6.14E-07,0.00E+00
796.6,7.22E-06,6.10E-07,0.00E+00
796.7,7.17E-06,6.07E-07,0.00E+00
796.8,7.13E-06,6.03E-07,0.00E+00
796.9,7.08E-06,6.00E-07,0.00E+00
797,7.04E-06,5.97E-07,0.00E+00
797.1,7.00E-06,5.93E-07,0.00E+00
797.2,6.95E-06,5.90E-07,0.00E+00
797.3,6.91E-06,5.86E-07,0.00E+00
797.4,6.87E-06,5.83E-07,0.00E+00
797.5,6.83E-06,5.80E-07,0.00E+00
797.6,6.78E-06,5.76E-07,0.00E+00
797.7,6.74E-06,5.73E-07,0.00E+00
797.8,6.70E-06,5.70E-07,0.00E+00
797.9,6.66E-06,5.67E-07,0.00E+00
798,6.62E-06,5.63E-07,0.00E+00
798.1,6.58E-06,5.60E-07,0.00E+00
798.2,6.54E-06,5.57E-07,0.00E+00
798.3,6.50E-06,5.54E-07,0.00E+00
798.4,6.46E-06,5.51E-07,0.00E+00
798.5,6.42E-06,5.48E-07,0.00E+00
798.6,6.38E-06,5.45E-07,0.00E+00
798.7,6.34E-06,5.42E-07,0.00E+00
798.8,6.30E-06,5.38E-07,0.00E+00
798.9,6.26E-06,5.35E-07,0.00E+00
799,6.22E-06,5.32E-07,0.00E+00
799.1,6.18E-06,5.29E-07,0.00E+00
799.2,6.15E-06,5.26E-07,0.00E+00
799.3,6.11E-06,5.23E-07,0.00E+00
799.4,6.07E-06,5.21E-07,0.00E+00
799.5,6.03E-06,5.18E-07,0.00E+00
799.6,6.00E-06,5.15E-07,0.00E+00
799.7,5.96E-06,5.12E-07,0.00E+00
799.8,5.92E-06,5.09E-07,0.00E+00
799.9,5.89E-06,5.06E-07,0.00E+00
800,5.85E-06,5.03E-07,0.00E+00
800.1,5.81E-06,5.00E-07,0.00E+00
800.2,5.78E-06,4.98E-07,0.00E+00
800.3,5.74E-06,4.95E-07,0.00E+00
800.4,5.71E-06,4.92E-07,0.00E+00
800.5,5.67E-06,4.89E-07,0.00E+00
800.6,5.64E-06,4.86E-07,0.00E+00
800.7,5.61E-06,4.84E-07,0.00E+00
800.8,5.57E-06,4.81E-07,0.00E+00
800.9,5.54E-06,4.78E-07,0.00E+00
801,5.50E-06,4.76E-07,0.00E+00
801.1,5.47E-06,4.73E-07,0.00E+00
801.2,5.44E-06,4.70E-07,0.00E+00
801.3,5.40E-06,4.68E-07,0.00E+00
801.4,5.37E-06,4.65E-07,0.00E+00
801.5,5.34E-06,4.63E-07,0.00E+00
801.6,5.31E-06,4.60E-07,0.00E+00
801.7,5.27E-06,4.57E-07,0.00E+00
801.8,5.24E-06,4.55E-07,0.00E+00
801.9,5.21E-06,4.52E-07,0.00E+00
802,5.18E-06,4.50E-07,0.00E+00
802.1,5.15E-06,4.47E-07,0.00E+00
802.2,5.11E-06,4.45E-07,0.00E+00
802.3,5.08E-06,4.42E-07,0.00E+00
802.4,5.05E-06,4.40E-07,0.00E+00
802.5,5.02E-06,4.37E-07,0.00E+00
802.6,4.99E-06,4.35E-07,0.00E+00
802.7,4.96E-06,4.32E-07,0.00E+00
802.8,4.93E-06,4.30E-07,0.00E+00
802.9,4.90E-06,4.28E-07,0.00E+00
803,4.87E-06,4.25E-07,0.00E+00
803.1,4.84E-06,4.23E-07,0.00E+00
803.2,4.81E-06,4.21E-07,0.00E+00
803.3,4.78E-06,4.18E-07,0.00E+00
803.4,4.75E-06,4.16E-07,0.00E+00
803.5,4.73E-06,4.13E-07,0.00E+00
803.6,4.70E-06,4.11E-07,0.00E+00
803.7,4.67E-06,4.09E-07,0.00E+00
803.8,4.64E-06,4.07E-07,0.00E+00
803.9,4.61E-06,4.04E-07,0.00E+00
804,4.58E-06,4.02E-07,0.00E+00
804.1,4.56E-06,4.00E-07,0.00E+00
804.2,4.53E-06,3.98E-07,0.00E+00
804.3,4.50E-06,3.95E-07,0.00E+00
804.4,4.47E-06,3.93E-07,0.00E+00
804.5,4.45E-06,3.91E-07,0.00E+00
804.6,4.42E-06,3.89E-07,0.00E+00
804.7,4.39E-06,3.87E-07,0.00E+00
804.8,4.36E-06,3.84E-07,0.00E+00
804.9,4.34E-06,3.82E-07,0.00E+00
805,4.31E-06,3.80E-07,0.00E+00
805.1,4.28E-06,3.78E-07,0.00E+00
805.2,4.26E-06,3.76E-07,0.00E+00
805.3,4.23E-06,3.74E-07,0.00E+00
805.4,4.21E-06,3.72E-07,0.00E+00
805.5,4.18E-06,3.69E-07,0.00E+00
805.6,4.16E-06,3.67E-07,0.00E+00
805.7,4.13E-06,3.65E-07,0.00E+00
805.8,4.10E-06,3.63E-07,0.00E+00
805.9,4.08E-06,3.61E-07,0.00E+00
806,4.05E-06,3.59E-07,0.00E+00
806.1,4.03E-06,3.57E-07,0.00E+00
806.2,4.00E-06,3.55E-07,0.00E+00
806.3,3.98E-06,3.53E-07,0.00E+00
806.4,3.96E-06,3.51E-07,0.00E+00
806.5,3.93E-06,3.49E-07,0.00E+00
806.6,3.91E-06,3.47E-07,0.00E+00
806.7,3.88E-06,3.45E-07,0.00E+00
806.8,3.86E-06,3.43E-07,0.00E+00
806.9,3.84E-06,3.41E-07,0.00E+00
807,3.81E-06,3.39E-07,0.00E+00
807.1,3.79E-06,3.37E-07,0.00E+00
807.2,3.77E-06,3.36E-07,0.00E+00
807.3,3.74E-06,3.34E-07,0.00E+00
807.4,3.72E-06,3.32E-07,0.00E+00
807.5,3.70E-06,3.30E-07,0.00E+00
807.6,3.67E-06,3.28E-07,0.00E+00
807.7,3.65E-06,3.26E-07,0.00E+00
807.8,3.63E-06,3.24E-07,0.00E+00
807.9,3.61E-06,3.22E-07,0.00E+00
808,3.58E-06,3.21E-07,0.00E+00
808.1,3.56E-06,3.19E-07,0.00E+00
808.2,3.54E-06,3.17E-07,0.00E+00
808.3,3.52E-06,3.15E-07,0.00E+00
808.4,3.50E-06,3.13E-07,0.00E+00
808.5,3.48E-06,3.12E-07,0.00E+00
808.6,3.45E-06,3.10E-07,0.00E+00
808.7,3.43E-06,3.08E-07,0.00E+00
808.8,3.41E-06,3.06E-07,0.00E+00
808.9,3.39E-06,3.05E-07,0.00E+00
809,3.37E-06,3.03E-07,0.00E+00
809.1,3.35E-06,3.01E-07,0.00E+00
809.2,3.33E-06,3.00E-07,0.00E+00
809.3,3.31E-06,2.98E-07,0.00E+00
809.4,3.29E-06,2.96E-07,0.00E+00
809.5,3.27E-06,2.95E-07,0.00E+00
809.6,3.25E-06,2.93E-07,0.00E+00
809.7,3.23E-06,2.91E-07,0.00E+00
809.8,3.21E-06,2.90E-07,0.00E+00
809.9,3.19E-06,2.88E-07,0.00E+00
810,3.17E-06,2.86E-07,0.00E+00
810.1,3.15E-06,2.85E-07,0.00E+00
810.2,3.13E-06,2.83E-07,0.00E+00
810.3,3.11E-06,2.82E-07,0.00E+00
810.4,3.09E-06,2.80E-07,0.00E+00
810.5,3.07E-06,2.78E-07,0.00E+00
810.6,3.06E-06,2.77E-07,0.00E+00
810.7,3.04E-06,2.75E-07,0.00E+00
810.8,3.02E-06,2.74E-07,0.00E+00
810.9,3.00E-06,2.72E-07,0.00E+00
811,2.98E-06,2.71E-07,0.00E+00
811.1,2.96E-06,2.69E-07,0.00E+00
811.2,2.95E-06,2.68E-07,0.00E+00
811.3,2.93E-06,2.66E-07,0.00E+00
811.4,2.91E-06,2.65E-07,0.00E+00
811.5,2.89E-06,2.63E-07,0.00E+00
811.6,2.88E-06,2.62E-07,0.00E+00
811.7,2.86E-06,2.60E-07,0.00E+00
811.8,2.84E-06,2.59E-07,0.00E+00
811.9,2.82E-06,2.57E-07,0.00E+00
812,2.81E-06,2.56E-07,0.00E+00
812.1,2.79E-06,2.55E-07,0.00E+00
812.2,2.77E-06,2.53E-07,0.00E+00
812.3,2.76E-06,2.52E-07,0.00E+00
812.4,2.74E-06,2.50E-07,0.00E+00
812.5,2.72E-06,2.49E-07,0.00E+00
812.6,2.71E-06,2.48E-07,0.00E+00
812.7,2.69E-06,2.46E-07,0.00E+00
812.8,2.67E-06,2.45E-07,0.00E+00
812.9,2.66E-06,2.43E-07,0.00E+00
813,2.64E-06,2.42E-07,0.00E+00
813.1,2.63E-06,2.41E-07,0.00E+00
813.2,2.61E-06,2.39E-07,0.00E+00
813.3,2.60E-06,2.38E-07,0.00E+00
813.4,2.58E-06,2.37E-07,0.00E+00
813.5,2.56E-06,2.36E-07,0.00E+00
813.6,2.55E-06,2.34E-07,0.00E+00
813.7,2.53E-06,2.33E-07,0.00E+00
813.8,2.52E-06,2.32E-07,0.00E+00
813.9,2.50E-06,2.30E-07,0.00E+00
814,2.49E-06,2.29E-07,0.00E+00
814.1,2.47E-06,2.28E-07,0.00E+00
814.2,2.46E-06,2.27E-07,0.00E+00
814.3,2.44E-06,2.25E-07,0.00E+00
814.4,2.43E-06,2.24E-07,0.00E+00
814.5,2.42E-06,2.23E-07,0.00E+00
814.6,2.40E-06,2.22E-07,0.00E+00
814.7,2.39E-06,2.20E-07,0.00E+00
814.8,2.37E-06,2.19E-07,0.00E+00
814.9,2.36E-06,2.18E-07,0.00E+00
815,2.34E-06,2.17E-07,0.00E+00
815.1,2.33E-06,2.16E-07,0.00E+00
815.2,2.32E-06,2.15E-07,0.00E+00
815.3,2.30E-06,2.13E-07,0.00E+00
815.4,2.29E-06,2.12E-07,0.00E+00
815.5,2.28E-06,2.11E-07,0.00E+00
815.6,2.26E-06,2.10E-07,0.00E+00
815.7,2.25E-06,2.09E-07,0.00E+00
815.8,2.24E-06,2.08E-07,0.00E+00
815.9,2.22E-06,2.06E-07,0.00E+00
816,2.21E-06,2.05E-07,0.00E+00
816.1,2.20E-06,2.04E-07,0.00E+00
816.2,2.18E-06,2.03E-07,0.00E+00
816.3,2.17E-06,2.02E-07,0.00E+00
816.4,2.16E-06,2.01E-07,0.00E+00
816.5,2.15E-06,2.00E-07,0.00E+00
816.6,2.13E-06,1.99E-07,0.00E+00
816.7,2.12E-06,1.98E-07,0.00E+00
816.8,2.11E-06,1.97E-07,0.00E+00
816.9,2.10E-06,1.96E-07,0.00E+00
817,2.08E-06,1.94E-07,0.00E+00
817.1,2.07E-06,1.93E-07,0.00E+00
817.2,2.06E-06,1.92E-07,0.00E+00
817.3,2.05E-06,1.91E-07,0.00E+00
817.4,2.03E-06,1.90E-07,0.00E+00
817.5,2.02E-06,1.89E-07,0.00E+00
817.6,2.01E-06,1.88E-07,0.00E+00
817.7,2.00E-06,1.87E-07,0.00E+00
817.8,1.99E-06,1.86E-07,0.00E+00
817.9,1.98E-06,1.85E-07,0.00E+00
818,1.96E-06,1.84E-07,0.00E+00
818.1,1.95E-06,1.83E-07,0.00E+00
818.2,1.94E-06,1.82E-07,0.00E+00
818.3,1.93E-06,1.81E-07,0.00E+00
818.4,1.92E-06,1.80E-07,0.00E+00
818.5,1.91E-06,1.79E-07,0.00E+00
818.6,1.90E-06,1.78E-07,0.00E+00
818.7,1.89E-06,1.77E-07,0.00E+00
818.8,1.87E-06,1.76E-07,0.00E+00
818.9,1.86E-06,1.75E-07,0.00E+00
819,1.85E-06,1.74E-07,0.00E+00
819.1,1.84E-06,1.73E-07,0.00E+00
819.2,1.83E-06,1.73E-07,0.00E+00
819.3,1.82E-06,1.72E-07,0.00E+00
819.4,1.81E-06,1.71E-07,0.00E+00
819.5,1.80E-06,1.70E-07,0.00E+00
819.6,1.79E-06,1.69E-07,0.00E+00
819.7,1.78E-06,1.68E-07,0.00E+00
819.8,1.77E-06,1.67E-07,0.00E+00
819.9,1.76E-06,1.66E-07,0.00E+00
820,1.75E-06,1.65E-07,0.00E+00
820.1,1.74E-06,1.64E-07,0.00E+00
820.2,1.73E-06,1.63E-07,0.00E+00
820.3,1.72E-06,1.62E-07,0.00E+00
820.4,1.71E-06,1.62E-07,0.00E+00
820.5,1.70E-06,1.61E-07,0.00E+00
820.6,1.69E-06,1.60E-07,0.00E+00
820.7,1.68E-06,1.59E-07,0.00E+00
820.8,1.67E-06,1.58E-07,0.00E+00
820.9,1.66E-06,1.57E-07,0.00E+00
821,1.65E-06,1.56E-07,0.00E+00
821.1,1.64E-06,1.56E-07,0.00E+00
821.2,1.63E-06,1.55E-07,0.00E+00
821.3,1.62E-06,1.54E-07,0.00E+00
821.4,1.61E-06,1.53E-07,0.00E+00
821.5,1.60E-06,1.52E-07,0.00E+00
821.6,1.59E-06,1.51E-07,0.00E+00
821.7,1.58E-06,1.50E-07,0.00E+00
821.8,1.57E-06,1.50E-07,0.00E+00
821.9,1.56E-06,1.49E-07,0.00E+00
822,1.55E-06,1.48E-07,0.00E+00
822.1,1.54E-06,1.47E-07,0.00E+00
822.2,1.53E-06,1.46E-07,0.00E+00
822.3,1.53E-06,1.46E-07,0.00E+00
822.4,1.52E-06,1.45E-07,0.00E+00
822.5,1.51E-06,1.44E-07,0.00E+00
822.6,1.50E-06,1.43E-07,0.00E+00
822.7,1.49E-06,1.42E-07,0.00E+00
822.8,1.48E-06,1.42E-07,0.00E+00
822.9,1.47E-06,1.41E-07,0.00E+00
823,1.46E-06,1.40E-07,0.00E+00
823.1,1.46E-06,1.39E-07,0.00E+00
823.2,1.45E-06,1.39E-07,0.00E+00
823.3,1.44E-06,1.38E-07,0.00E+00
823.4,1.43E-06,1.37E-07,0.00E+00
823.5,1.42E-06,1.36E-07,0.00E+00
823.6,1.41E-06,1.36E-07,0.00E+00
823.7,1.41E-06,1.35E-07,0.00E+00
823.8,1.40E-06,1.34E-07,0.00E+00
823.9,1.39E-06,1.33E-07,0.00E+00
824,1.38E-06,1.33E-07,0.00E+00
824.1,1.37E-06,1.32E-07,0.00E+00
824.2,1.36E-06,1.31E-07,0.00E+00
824.3,1.36E-06,1.30E-07,0.00E+00
824.4,1.35E-06,1.30E-07,0.00E+00
824.5,1.34E-06,1.29E-07,0.00E+00
824.6,1.33E-06,1.28E-07,0.00E+00
824.7,1.33E-06,1.28E-07,0.00E+00
824.8,1.32E-06,1.27E-07,0.00E+00
824.9,1.31E-06,1.26E-07,0.00E+00
825,1.30E-06,1.26E-07,0.00E+00
825.1,1.29E-06,1.25E-07,0.00E+00
825.2,1.29E-06,1.24E-07,0.00E+00
825.3,1.28E-06,1.23E-07,0.00E+00
825.4,1.27E-06,1.23E-07,0.00E+00
825.5,1.26E-06,1.22E-07,0.00E+00
825.6,1.26E-06,1.21E-07,0.00E+00
825.7,1.25E-06,1.21E-07,0.00E+00
825.8,1.24E-06,1.20E-07,0.00E+00
825.9,1.24E-06,1.19E-07,0.00E+00
826,1.23E-06,1.19E-07,0.00E+00
826.1,1.22E-06,1.18E-07,0.00E+00
826.2,1.21E-06,1.17E-07,0.00E+00
826.3,1.21E-06,1.17E-07,0.00E+00
826.4,1.20E-06,1.16E-07,0.00E+00
826.5,1.19E-06,1.16E-07,0.00E+00
826.6,1.19E-06,1.15E-07,0.00E+00
826.7,1.18E-06,1.14E-07,0.00E+00
826.8,1.17E-06,1.14E-07,0.00E+00
826.9,1.17E-06,1.13E-07,0.00E+00
827,1.16E-06,1.12E-07,0.00E+00
827.1,1.15E-06,1.12E-07,0.00E+00
827.2,1.15E-06,1.11E-07,0.00E+00
827.3,1.14E-06,1.11E-07,0.00E+00
827.4,1.13E-06,1.10E-07,0.00E+00
827.5,1.13E-06,1.09E-07,0.00E+00
827.6,1.12E-06,1.09E-07,0.00E+00
827.7,1.11E-06,1.08E-07,0.00E+00
827.8,1.11E-06,1.08E-07,0.00E+00
827.9,1.10E-06,1.07E-07,0.00E+00
828,1.09E-06,1.06E-07,0.00E+00
828.1,1.09E-06,1.06E-07,0.00E+00
828.2,1.08E-06,1.05E-07,0.00E+00
828.3,1.07E-06,1.05E-07,0.00E+00
828.4,1.07E-06,1.04E-07,0.00E+00
828.5,1.06E-06,1.04E-07,0.00E+00
828.6,1.06E-06,1.03E-07,0.00E+00
828.7,1.05E-06,1.02E-07,0.00E+00
828.8,1.04E-06,1.02E-07,0.00E+00
828.9,1.04E-06,1.01E-07,0.00E+00
829,1.03E-06,1.01E-07,0.00E+00
829.1,1.03E-06,1.00E-07,0.00E+00
829.2,1.02E-06,9.96E-08,0.00E+00
829.3,1.01E-06,9.91E-08,0.00E+00
829.4,1.01E-06,9.85E-08,0.00E+00
829.5,1.00E-06,9.80E-08,0.00E+00
829.6,9.97E-07,9.75E-08,0.00E+00
829.7,9.91E-07,9.69E-08,0.00E+00
829.8,9.86E-07,9.64E-08,0.00E+00
829.9,9.80E-07,9.59E-08,0.00E+00
830,9.74E-07,9.53E-08,0.00E+00
